period,fueltypeid,fuelTypeDescription,generation,generation-units,year,month
2021-05-01,HYC,conventional hydroelectric,23308.96396,thousand megawatthours,2021,5
2021-05-01,COL,"coal, excluding waste coal",63343.67723,thousand megawatthours,2021,5
2021-04-01,HYC,conventional hydroelectric,19388.82781,thousand megawatthours,2021,4
2021-04-01,COL,"coal, excluding waste coal",53656.42948,thousand megawatthours,2021,4
2021-04-01,ALL,all fuels,293307.94443,thousand megawatthours,2021,4
2021-04-01,WND,wind,36157.80676,thousand megawatthours,2021,4
2021-04-01,SUN,solar,10891.71409,thousand megawatthours,2021,4
2021-04-01,NUC,nuclear,57092.024,thousand megawatthours,2021,4
2021-04-01,NG,natural gas,107416.26793,thousand megawatthours,2021,4
2021-03-01,HYC,conventional hydroelectric,21220.43408,thousand megawatthours,2021,3
2021-03-01,WND,wind,39205.24802,thousand megawatthours,2021,3
2021-03-01,SUN,solar,9296.18165,thousand megawatthours,2021,3
2021-03-01,COL,"coal, excluding waste coal",61263.59244,thousand megawatthours,2021,3
2021-03-01,ALL,all fuels,311397.27585,thousand megawatthours,2021,3
2021-03-01,NUC,nuclear,63708.238,thousand megawatthours,2021,3
2021-03-01,NG,natural gas,107018.71133,thousand megawatthours,2021,3
2021-02-01,ALL,all fuels,323899.52894,thousand megawatthours,2021,2
2021-02-01,WND,wind,26715.50092,thousand megawatthours,2021,2
2021-02-01,SUN,solar,6330.40705,thousand megawatthours,2021,2
2021-02-01,NUC,nuclear,62954.16,thousand megawatthours,2021,2
2021-02-01,NG,natural gas,111182.91493,thousand megawatthours,2021,2
2021-02-01,HYC,conventional hydroelectric,20136.50917,thousand megawatthours,2021,2
2021-02-01,COL,"coal, excluding waste coal",86833.35197,thousand megawatthours,2021,2
2021-01-01,NUC,nuclear,71732.463,thousand megawatthours,2021,1
2021-01-01,SUN,solar,5559.24502,thousand megawatthours,2021,1
2021-01-01,WND,wind,30060.4714,thousand megawatthours,2021,1
2021-01-01,COL,"coal, excluding waste coal",80621.17472,thousand megawatthours,2021,1
2021-01-01,ALL,all fuels,349209.70891,thousand megawatthours,2021,1
2021-01-01,NG,natural gas,126529.59847,thousand megawatthours,2021,1
2021-01-01,HYC,conventional hydroelectric,24560.04066,thousand megawatthours,2021,1
